region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
4420011700,44,200,117,00,4420011700,4420011700,충청남도 아산시 점양동,17,,4420000000,점양동,
4420011800,44,200,118,00,4420011800,4420011800,충청남도 아산시 신동,18,,4420000000,신동,
4420011900,44,200,119,00,4420011900,4420011900,충청남도 아산시 남동,19,,4420000000,남동,
4420025000,44,200,250,00,4420025000,4420025000,충청남도 아산시 염치읍,20,,4420000000,염치읍,
4420025021,44,200,250,21,4420025021,4420025021,충청남도 아산시 염치읍 산양리,1,,4420025000,산양리,
4471037027,44,710,370,27,4471037027,4471037027,충청남도 금산군 진산면 교촌리,7,,4471037000,교촌리,
4471037028,44,710,370,28,4471037028,4471037028,충청남도 금산군 진산면 읍내리,8,,4471037000,읍내리,
4420025022,44,200,250,22,4420025022,4420025022,충청남도 아산시 염치읍 강청리,2,,4420025000,강청리,
4420025023,44,200,250,23,4420025023,4420025023,충청남도 아산시 염치읍 서원리,3,,4420025000,서원리,
4420025024,44,200,250,24,4420025024,4420025024,충청남도 아산시 염치읍 중방리,4,,4420025000,중방리,
4420025025,44,200,250,25,4420025025,4420025025,충청남도 아산시 염치읍 염성리,5,,4420025000,염성리,
4420025026,44,200,250,26,4420025026,4420025026,충청남도 아산시 염치읍 쌍죽리,6,,4420025000,쌍죽리,
4420025027,44,200,250,27,4420025027,4420025027,충청남도 아산시 염치읍 동정리,7,,4420025000,동정리,
4420025028,44,200,250,28,4420025028,4420025028,충청남도 아산시 염치읍 곡교리,8,,4420025000,곡교리,
4420025029,44,200,250,29,4420025029,4420025029,충청남도 아산시 염치읍 석두리,9,,4420025000,석두리,
4420025030,44,200,250,30,4420025030,4420025030,충청남도 아산시 염치읍 석정리,10,,4420025000,석정리,
4420025031,44,200,250,31,4420025031,4420025031,충청남도 아산시 염치읍 방현리,11,,4420025000,방현리,
4420025032,44,200,250,32,4420025032,4420025032,충청남도 아산시 염치읍 송곡리,12,,4420025000,송곡리,
4420025033,44,200,250,33,4420025033,4420025033,충청남도 아산시 염치읍 백암리,13,,4420025000,백암리,
4420025034,44,200,250,34,4420025034,4420025034,충청남도 아산시 염치읍 대동리,14,,4420025000,대동리,
4420025300,44,200,253,00,4420025300,4420025300,충청남도 아산시 배방읍,1,,4420000000,배방읍,20090501
